Country,Region/State,Zip/Postal Code,Weight (and above),Shipping Price
THA,*,13250,20.01,190
THA,*,13250,30.01,210
THA,*,13250,40.01,240
THA,*,13260,0,50
THA,*,13260,2.51,70
THA,*,13260,5.01,110
THA,*,13260,10.01,150
THA,*,13260,20.01,190
THA,*,13260,30.01,210
THA,*,13260,40.01,240
THA,*,13270,0,75
THA,*,13270,2.51,95
THA,*,13270,5.01,145
THA,*,13270,10.01,185
THA,*,13270,20.01,240
THA,*,13270,30.01,260
THA,*,13270,40.01,290
THA,*,13280,0,75
THA,*,13280,2.51,95
THA,*,13280,5.01,145
THA,*,13280,10.01,185
THA,*,13280,20.01,240
THA,*,13280,30.01,260
THA,*,13280,40.01,290
THA,*,13290,0,75
THA,*,13290,2.51,95
THA,*,13290,5.01,145
THA,*,13290,10.01,185
THA,*,13290,20.01,240
THA,*,13290,30.01,260
THA,*,13290,40.01,290
THA,*,14000,0,50
THA,*,14001,2.51,70
THA,*,14002,5.01,110
THA,*,14003,10.01,150
THA,*,14004,20.01,190
THA,*,14005,30.01,210
THA,*,14006,40.01,240
THA,*,14110,0,50
THA,*,14111,2.51,70
THA,*,14112,5.01,110
THA,*,14113,10.01,150
THA,*,14114,20.01,190
THA,*,14115,30.01,210
THA,*,14116,40.01,240
THA,*,14120,0,50
THA,*,14121,2.51,70
THA,*,14122,5.01,110
THA,*,14123,10.01,150
THA,*,14124,20.01,190
THA,*,14125,30.01,210
THA,*,14126,40.01,240
THA,*,14130,0,50
THA,*,14131,2.51,70
THA,*,14132,5.01,110
THA,*,14133,10.01,150
THA,*,14134,20.01,190
THA,*,14135,30.01,210
THA,*,14136,40.01,240
THA,*,14140,0,50
THA,*,14140,2.51,70
THA,*,14140,5.01,110
THA,*,14140,10.01,150
THA,*,14140,20.01,190
THA,*,14140,30.01,210
THA,*,14140,40.01,240
THA,*,14150,0,50
THA,*,14150,2.51,70
THA,*,14150,5.01,110
THA,*,14150,10.01,150
THA,*,14150,20.01,190
THA,*,14150,30.01,210
THA,*,14150,40.01,240
THA,*,14160,0,75
THA,*,14160,2.51,95
THA,*,14160,5.01,145
THA,*,14160,10.01,185
THA,*,14160,20.01,240
THA,*,14160,30.01,260
THA,*,14160,40.01,290
THA,*,15000,0,50
THA,*,15000,2.51,70
THA,*,15000,5.01,110
THA,*,15000,10.01,150
THA,*,15000,20.01,190
THA,*,15000,30.01,210
THA,*,15000,40.01,240
THA,*,15110,0,50
THA,*,15110,2.51,70
THA,*,15110,5.01,110
THA,*,15110,10.01,150
THA,*,15110,20.01,190
THA,*,15110,30.01,210
THA,*,15110,40.01,240
THA,*,15120,0,75
THA,*,15120,2.51,95
THA,*,15120,5.01,145
THA,*,15120,10.01,185
THA,*,15120,20.01,240
THA,*,15120,30.01,260
THA,*,15120,40.01,290
THA,*,15130,0,75
THA,*,15130,2.51,95
THA,*,15130,5.01,145
THA,*,15130,10.01,185
THA,*,15130,20.01,240
THA,*,15130,30.01,260
THA,*,15130,40.01,290
THA,*,15140,0,75
THA,*,15140,2.51,95
THA,*,15140,5.01,145
THA,*,15140,10.01,185
THA,*,15140,20.01,240
THA,*,15140,30.01,260
THA,*,15140,40.01,290
THA,*,15150,0,75
THA,*,15150,2.51,95
THA,*,15150,5.01,145
THA,*,15150,10.01,185
THA,*,15150,20.01,240
THA,*,15150,30.01,260
THA,*,15150,40.01,290
THA,*,15160,0,50
THA,*,15160,2.51,70
THA,*,15160,5.01,110
THA,*,15160,10.01,150
THA,*,15160,20.01,190
THA,*,15160,30.01,210
THA,*,15160,40.01,240
THA,*,15170,0,75
THA,*,15170,2.51,95
THA,*,15170,5.01,145
THA,*,15170,10.01,185
THA,*,15170,20.01,240
THA,*,15170,30.01,260
THA,*,15170,40.01,290
THA,*,15180,0,75
THA,*,15180,2.51,95
THA,*,15180,5.01,145
THA,*,15180,10.01,185
THA,*,15180,20.01,240
THA,*,15180,30.01,260
THA,*,15180,40.01,290
THA,*,15190,0,75
THA,*,15190,2.51,95
THA,*,15190,5.01,145
THA,*,15190,10.01,185
THA,*,15190,20.01,240
THA,*,15190,30.01,260
THA,*,15190,40.01,290
THA,*,15210,0,50
THA,*,15210,2.51,70
THA,*,15210,5.01,110
THA,*,15210,10.01,150
THA,*,15210,20.01,190
THA,*,15210,30.01,210
THA,*,15210,40.01,240
THA,*,15220,0,75
THA,*,15220,2.51,95
THA,*,15220,5.01,145
THA,*,15220,10.01,185
THA,*,15220,20.01,240
THA,*,15220,30.01,260
THA,*,15220,40.01,290
THA,*,15230,0,75
THA,*,15230,2.51,95
THA,*,15230,5.01,145
THA,*,15230,10.01,185
THA,*,15230,20.01,240
THA,*,15230,30.01,260
THA,*,15230,40.01,290
THA,*,15240,0,75
THA,*,15240,2.51,95
THA,*,15240,5.01,145
THA,*,15240,10.01,185
THA,*,15240,20.01,240
THA,*,15240,30.01,260
THA,*,15240,40.01,290
THA,*,15250,0,75
THA,*,15250,2.51,95
THA,*,15250,5.01,145
THA,*,15250,10.01,185
THA,*,15250,20.01,240
THA,*,15250,30.01,260
THA,*,15250,40.01,290
THA,*,16000,0,50
THA,*,16000,2.51,70
THA,*,16000,5.01,110
THA,*,16000,10.01,150
THA,*,16000,20.01,190
THA,*,16000,30.01,210
THA,*,16000,40.01,240
THA,*,16110,0,50
THA,*,16110,2.51,70
THA,*,16110,5.01,110
THA,*,16110,10.01,150
THA,*,16110,20.01,190
THA,*,16110,30.01,210
THA,*,16110,40.01,240
THA,*,16111,0,75
THA,*,16111,2.51,95
THA,*,16111,5.01,145
THA,*,16111,10.01,185
THA,*,16111,20.01,240
THA,*,16111,30.01,260
THA,*,16111,40.01,290
THA,*,16120,0,50
THA,*,16120,2.51,70
THA,*,16120,5.01,110
THA,*,16120,10.01,150
THA,*,16120,20.01,190
THA,*,16120,30.01,210
THA,*,16120,40.01,240
THA,*,16130,0,50
THA,*,16130,2.51,70
THA,*,16130,5.01,110
THA,*,16130,10.01,150
THA,*,16130,20.01,190
THA,*,16130,30.01,210
THA,*,16130,40.01,240
THA,*,16140,0,50
THA,*,16140,2.51,70
THA,*,16140,5.01,110
THA,*,16140,10.01,150
THA,*,16140,20.01,190
THA,*,16140,30.01,210
THA,*,16140,40.01,240
THA,*,16150,0,50
THA,*,16150,2.51,70
THA,*,16150,5.01,110
THA,*,16150,10.01,150
THA,*,16150,20.01,190
THA,*,16150,30.01,210
THA,*,16150,40.01,240
THA,*,16160,0,50
THA,*,16160,2.51,70
THA,*,16160,5.01,110
THA,*,16160,10.01,150
THA,*,16160,20.01,190
THA,*,16160,30.01,210
THA,*,16160,40.01,240
THA,*,17000,0,50
THA,*,17000,2.51,70
THA,*,17000,5.01,110
THA,*,17000,10.01,150
THA,*,17000,20.01,190
THA,*,17000,30.01,210
THA,*,17000,40.01,240
THA,*,17110,0,50
THA,*,17110,2.51,70
THA,*,17110,5.01,110
THA,*,17110,10.01,150
THA,*,17110,20.01,190
THA,*,17110,30.01,210
